work_order_id,asset_id,asset_type,maintenance_type,work_order_status,start_datetime,end_datetime,work_order_description
WO-100016,GT-101,Gas Turbine,Cleaning,Completed,2019-03-22 06:00,2019-03-22 22:00,Completed chemical cleaning to remove deposits and restore efficiency. Severe degradation observed with clear impact to performance. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100017,HX-401,Heat Exchanger,Corrective Repair,Completed,2019-03-27 11:00,2019-03-27 13:00,Repaired identified defect and returned unit to service. Abnormal vibration and temperature excursions noted prior to shutdown. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100018,P-501,Pump,Cleaning,Completed,2019-04-01 11:00,2019-04-02 03:00,Completed chemical cleaning to remove deposits and restore efficiency. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100019,HX-402,Heat Exchanger,Cleaning,Completed,2019-04-06 06:00,2019-04-06 22:00,Mechanical cleaning performed; heavy deposits removed from surfaces. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100020,HX-402,Heat Exchanger,Bearing Replacement,Completed,2019-04-11 09:00,2019-04-12 01:00,Maintenance activity completed as planned. Moderate degradation observed with noticeable efficiency loss. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100021,HX-401,Heat Exchanger,Seal Replacement,Completed,2019-04-16 09:00,2019-04-16 17:00,"Maintenance activity completed as planned. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100022,GT-101,Gas Turbine,Calibration,Completed,2019-04-21 11:00,2019-04-21 19:00,"Maintenance activity completed as planned. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100023,GT-102,Gas Turbine,Calibration,Completed,2019-04-26 11:00,2019-04-26 13:00,Maintenance activity completed as planned. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100024,GT-101,Gas Turbine,Preventive Maintenance,Completed,2019-05-01 08:00,2019-05-02 00:00,Maintenance activity completed as planned. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100025,HX-402,Heat Exchanger,Overhaul,Completed,2019-05-06 06:00,2019-05-07 06:00,"Major overhaul completed including disassembly, inspection, and rebuild. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100026,GT-102,Gas Turbine,Calibration,Completed,2019-05-11 06:00,2019-05-11 14:00,Maintenance activity completed as planned. Equipment efficiency significantly reduced; corrective action required. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100027,HX-401,Heat Exchanger,Preventive Maintenance,Completed,2019-05-16 07:00,2019-05-16 09:00,Maintenance activity completed as planned. Severe degradation observed with clear impact to performance. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100028,GEN-301,Generator,Bearing Replacement,Completed,2019-05-21 06:00,2019-05-21 08:00,"Maintenance activity completed as planned. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100029,GT-101,Gas Turbine,Inspection,Completed,2019-05-26 08:00,2019-05-26 12:00,Performed visual and borescope inspection of critical components. Moderate degradation observed with noticeable efficiency loss. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100030,HX-402,Heat Exchanger,Calibration,Completed,2019-05-31 06:00,2019-06-01 06:00,Maintenance activity completed as planned. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100031,HX-402,Heat Exchanger,Cleaning,Completed,2019-06-05 08:00,2019-06-05 16:00,"Mechanical cleaning performed; heavy deposits removed from surfaces. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100032,CT-601,Cooling Tower,Cleaning,Completed,2019-06-10 11:00,2019-06-10 15:00,"Completed chemical cleaning to remove deposits and restore efficiency. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100033,TR-701,Transformer,Overhaul,Completed,2019-06-15 07:00,2019-06-15 09:00,"Major overhaul completed including disassembly, inspection, and rebuild. Moderate degradation observed with noticeable efficiency loss. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100034,HX-401,Heat Exchanger,Bearing Replacement,Completed,2019-06-20 11:00,2019-06-20 13:00,"Maintenance activity completed as planned. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100035,GT-101,Gas Turbine,Corrective Repair,Completed,2019-06-25 09:00,2019-06-25 13:00,"Repaired identified defect and returned unit to service. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100036,HX-401,Heat Exchanger,Bearing Replacement,Completed,2019-06-30 06:00,2019-06-30 14:00,Maintenance activity completed as planned. Equipment efficiency significantly reduced; corrective action required. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100037,HX-401,Heat Exchanger,Cleaning,Completed,2019-07-05 08:00,2019-07-06 08:00,"Mechanical cleaning performed; heavy deposits removed from surfaces. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100038,ST-201,Steam Turbine,Corrective Repair,Completed,2019-07-10 11:00,2019-07-11 03:00,"Corrected fault discovered during operation. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100039,GT-101,Gas Turbine,Preventive Maintenance,Completed,2019-07-15 11:00,2019-07-15 15:00,"Maintenance activity completed as planned. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100040,P-501,Pump,Inspection,Completed,2019-07-20 10:00,2019-07-21 10:00,"Inspected internals and verified clearances against OEM specifications. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100041,CT-601,Cooling Tower,Seal Replacement,Completed,2019-07-25 08:00,2019-07-26 00:00,Maintenance activity completed as planned. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100042,GT-102,Gas Turbine,Bearing Replacement,Completed,2019-07-30 06:00,2019-07-30 10:00,"Maintenance activity completed as planned. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100043,P-501,Pump,Cleaning,Completed,2019-08-04 08:00,2019-08-04 16:00,"Mechanical cleaning performed; heavy deposits removed from surfaces. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100044,HX-401,Heat Exchanger,Inspection,Completed,2019-08-09 11:00,2019-08-09 19:00,Inspected internals and verified clearances against OEM specifications. Vibration levels trending upward compared to baseline. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100045,CT-601,Cooling Tower,Bearing Replacement,Completed,2019-08-14 07:00,2019-08-14 11:00,Maintenance activity completed as planned. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100046,HX-401,Heat Exchanger,Seal Replacement,Completed,2019-08-19 08:00,2019-08-19 12:00,Maintenance activity completed as planned. Vibration levels trending upward compared to baseline. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100047,TR-701,Transformer,Calibration,Completed,2019-08-24 08:00,2019-08-24 16:00,Maintenance activity completed as planned. Vibration levels trending upward compared to baseline. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100048,GT-101,Gas Turbine,Preventive Maintenance,Completed,2019-08-29 11:00,2019-08-29 19:00,Maintenance activity completed as planned. Vibration levels trending upward compared to baseline. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100049,GT-101,Gas Turbine,Corrective Repair,Completed,2019-09-03 10:00,2019-09-04 02:00,Corrected fault discovered during operation. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100050,TR-701,Transformer,Preventive Maintenance,Completed,2019-09-08 06:00,2019-09-08 14:00,Maintenance activity completed as planned. Vibration levels trending upward compared to baseline. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100051,ST-201,Steam Turbine,Bearing Replacement,Completed,2019-09-13 10:00,2019-09-13 12:00,Maintenance activity completed as planned. Abnormal vibration and temperature excursions noted prior to shutdown. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100052,HX-401,Heat Exchanger,Calibration,Completed,2019-09-18 07:00,2019-09-18 15:00,Maintenance activity completed as planned. Vibration levels trending upward compared to baseline. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100053,ST-201,Steam Turbine,Cleaning,Completed,2019-09-23 08:00,2019-09-23 16:00,"Mechanical cleaning performed; heavy deposits removed from surfaces. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100054,HX-401,Heat Exchanger,Overhaul,Completed,2019-09-28 11:00,2019-09-29 03:00,"Executed scheduled outage overhaul per maintenance strategy. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100055,HX-402,Heat Exchanger,Preventive Maintenance,Completed,2019-10-03 08:00,2019-10-03 12:00,Maintenance activity completed as planned. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100056,GEN-301,Generator,Cleaning,Completed,2019-10-08 06:00,2019-10-08 10:00,Completed chemical cleaning to remove deposits and restore efficiency. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100057,TR-701,Transformer,Preventive Maintenance,Completed,2019-10-13 06:00,2019-10-13 08:00,Maintenance activity completed as planned. Severe degradation observed with clear impact to performance. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100058,CT-601,Cooling Tower,Cleaning,Completed,2019-10-18 07:00,2019-10-18 11:00,Mechanical cleaning performed; heavy deposits removed from surfaces. Moderate degradation observed with noticeable efficiency loss. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100059,P-501,Pump,Bearing Replacement,Completed,2019-10-23 10:00,2019-10-23 14:00,Maintenance activity completed as planned. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100060,GT-102,Gas Turbine,Preventive Maintenance,Completed,2019-10-28 09:00,2019-10-28 17:00,Maintenance activity completed as planned. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100061,GEN-301,Generator,Calibration,Completed,2019-11-02 10:00,2019-11-03 02:00,"Maintenance activity completed as planned. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100062,GEN-301,Generator,Overhaul,Completed,2019-11-07 10:00,2019-11-07 18:00,Executed scheduled outage overhaul per maintenance strategy. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100063,CT-601,Cooling Tower,Corrective Repair,Completed,2019-11-12 08:00,2019-11-12 12:00,Repaired identified defect and returned unit to service. Moderate degradation observed with noticeable efficiency loss. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100064,CT-601,Cooling Tower,Bearing Replacement,Completed,2019-11-17 09:00,2019-11-17 13:00,"Maintenance activity completed as planned. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100065,HX-401,Heat Exchanger,Seal Replacement,Completed,2019-11-22 11:00,2019-11-23 11:00,Maintenance activity completed as planned. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100066,GT-101,Gas Turbine,Cleaning,Completed,2019-11-27 10:00,2019-11-27 18:00,"Completed chemical cleaning to remove deposits and restore efficiency. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100067,HX-401,Heat Exchanger,Corrective Repair,Completed,2019-12-02 09:00,2019-12-03 01:00,"Repaired identified defect and returned unit to service. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100068,HX-401,Heat Exchanger,Calibration,Completed,2019-12-07 08:00,2019-12-07 16:00,Maintenance activity completed as planned. Equipment efficiency significantly reduced; corrective action required. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100069,GEN-301,Generator,Corrective Repair,Completed,2019-12-12 10:00,2019-12-12 14:00,Repaired identified defect and returned unit to service. Moderate degradation observed with noticeable efficiency loss. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100070,ST-201,Steam Turbine,Corrective Repair,Completed,2019-12-17 08:00,2019-12-17 12:00,Repaired identified defect and returned unit to service. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100071,CT-601,Cooling Tower,Preventive Maintenance,Completed,2019-12-22 10:00,2019-12-23 10:00,"Maintenance activity completed as planned. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100072,GT-102,Gas Turbine,Inspection,Completed,2019-12-27 10:00,2019-12-27 14:00,Inspected internals and verified clearances against OEM specifications. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100073,P-501,Pump,Overhaul,Completed,2020-01-01 09:00,2020-01-01 17:00,"Major overhaul completed including disassembly, inspection, and rebuild. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100074,GEN-301,Generator,Bearing Replacement,Completed,2020-01-06 11:00,2020-01-06 13:00,"Maintenance activity completed as planned. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100075,CT-601,Cooling Tower,Bearing Replacement,Completed,2020-01-11 09:00,2020-01-12 09:00,Maintenance activity completed as planned. Severe degradation observed with clear impact to performance. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100076,ST-201,Steam Turbine,Overhaul,Completed,2020-01-16 10:00,2020-01-16 14:00,"Major overhaul completed including disassembly, inspection, and rebuild. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100077,HX-402,Heat Exchanger,Bearing Replacement,Completed,2020-01-21 11:00,2020-01-21 15:00,Maintenance activity completed as planned. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100078,CT-601,Cooling Tower,Bearing Replacement,Completed,2020-01-26 06:00,2020-01-26 14:00,Maintenance activity completed as planned. Severe degradation observed with clear impact to performance. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100079,HX-402,Heat Exchanger,Cleaning,Completed,2020-01-31 08:00,2020-02-01 00:00,"Completed chemical cleaning to remove deposits and restore efficiency. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100080,GT-102,Gas Turbine,Inspection,Completed,2020-02-05 10:00,2020-02-06 10:00,Performed visual and borescope inspection of critical components. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100081,CT-601,Cooling Tower,Corrective Repair,Completed,2020-02-10 08:00,2020-02-10 16:00,Repaired identified defect and returned unit to service. Abnormal vibration and temperature excursions noted prior to shutdown. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100082,HX-401,Heat Exchanger,Preventive Maintenance,Completed,2020-02-15 10:00,2020-02-16 10:00,Maintenance activity completed as planned. Abnormal vibration and temperature excursions noted prior to shutdown. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100083,GT-102,Gas Turbine,Seal Replacement,Completed,2020-02-20 06:00,2020-02-20 22:00,Maintenance activity completed as planned. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100084,HX-402,Heat Exchanger,Bearing Replacement,Completed,2020-02-25 07:00,2020-02-25 11:00,Maintenance activity completed as planned. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100085,GT-101,Gas Turbine,Cleaning,Completed,2020-03-01 10:00,2020-03-01 14:00,Completed chemical cleaning to remove deposits and restore efficiency. Vibration levels trending upward compared to baseline. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100086,HX-402,Heat Exchanger,Preventive Maintenance,Completed,2020-03-06 07:00,2020-03-06 11:00,Maintenance activity completed as planned. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100087,CT-601,Cooling Tower,Calibration,Completed,2020-03-11 08:00,2020-03-11 10:00,Maintenance activity completed as planned. Severe degradation observed with clear impact to performance. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100088,CT-601,Cooling Tower,Seal Replacement,Completed,2020-03-16 06:00,2020-03-16 10:00,"Maintenance activity completed as planned. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100089,GT-101,Gas Turbine,Cleaning,Completed,2020-03-21 11:00,2020-03-21 15:00,Completed chemical cleaning to remove deposits and restore efficiency. Equipment efficiency significantly reduced; corrective action required. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100090,TR-701,Transformer,Inspection,Completed,2020-03-26 11:00,2020-03-27 11:00,Inspected internals and verified clearances against OEM specifications. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100091,HX-402,Heat Exchanger,Bearing Replacement,Completed,2020-03-31 08:00,2020-03-31 16:00,Maintenance activity completed as planned. Moderate degradation observed with noticeable efficiency loss. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100092,HX-402,Heat Exchanger,Corrective Repair,Completed,2020-04-05 11:00,2020-04-05 13:00,"Corrected fault discovered during operation. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100093,CT-601,Cooling Tower,Seal Replacement,Completed,2020-04-10 10:00,2020-04-10 12:00,Maintenance activity completed as planned. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100094,ST-201,Steam Turbine,Seal Replacement,Completed,2020-04-15 10:00,2020-04-16 10:00,Maintenance activity completed as planned. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100095,GT-101,Gas Turbine,Preventive Maintenance,Completed,2020-04-20 08:00,2020-04-21 08:00,"Maintenance activity completed as planned. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100096,P-501,Pump,Cleaning,Completed,2020-04-25 10:00,2020-04-26 02:00,"Mechanical cleaning performed; heavy deposits removed from surfaces. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100097,GT-102,Gas Turbine,Cleaning,Completed,2020-04-30 06:00,2020-04-30 08:00,"Mechanical cleaning performed; heavy deposits removed from surfaces. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100098,GT-101,Gas Turbine,Preventive Maintenance,Completed,2020-05-05 07:00,2020-05-05 15:00,Maintenance activity completed as planned. Abnormal vibration and temperature excursions noted prior to shutdown. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100099,HX-401,Heat Exchanger,Corrective Repair,Completed,2020-05-10 07:00,2020-05-10 09:00,Repaired identified defect and returned unit to service. Equipment efficiency significantly reduced; corrective action required. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100100,GT-102,Gas Turbine,Preventive Maintenance,Completed,2020-05-15 09:00,2020-05-15 17:00,Maintenance activity completed as planned. Abnormal vibration and temperature excursions noted prior to shutdown. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100101,ST-201,Steam Turbine,Bearing Replacement,Completed,2020-05-20 06:00,2020-05-20 22:00,"Maintenance activity completed as planned. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100102,GT-102,Gas Turbine,Seal Replacement,Completed,2020-05-25 08:00,2020-05-26 00:00,Maintenance activity completed as planned. Moderate degradation observed with noticeable efficiency loss. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100103,GT-102,Gas Turbine,Seal Replacement,Completed,2020-05-30 07:00,2020-05-30 11:00,"Maintenance activity completed as planned. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100104,GT-101,Gas Turbine,Corrective Repair,Completed,2020-06-04 09:00,2020-06-04 17:00,Corrected fault discovered during operation. Equipment efficiency significantly reduced; corrective action required. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100105,ST-201,Steam Turbine,Corrective Repair,Completed,2020-06-09 11:00,2020-06-09 19:00,Repaired identified defect and returned unit to service. Abnormal vibration and temperature excursions noted prior to shutdown. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
