EXCEEDANCE_ID,WELL_TEST_ID,EXCEEDANCE_REQUIRED,NOTIFICATION_DATE,NOTIFICATION_METHOD,CREATE_TIMESTAMP,CREATE_USERID
102040,12710,Yes,2009-03-01T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102042,10033,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102044,9415,Yes,2009-02-02T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102046,8350,Yes,2009-02-24T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102048,10201,Yes,2009-03-12T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102050,12068,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102052,5373,Yes,2009-02-05T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102054,12069,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102056,9530,Yes,2009-02-10T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102058,11558,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102060,9531,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102062,5400,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102064,8850,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102066,10034,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102068,8851,Yes,2009-01-23T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102070,8351,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102072,11313,Yes,2009-01-26T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102074,11314,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102076,5401,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102078,10508,Yes,2009-01-26T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102080,11315,Yes,2009-01-27T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102082,8255,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102084,8852,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102086,11559,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102088,8207,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102090,7444,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102092,9532,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102094,11560,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102096,10509,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102098,12070,Yes,2009-01-23T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102100,9416,Yes,2009-02-19T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102102,9533,Yes,2009-03-16T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102104,9070,Yes,2009-03-16T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102106,10510,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102108,9071,Yes,2009-03-13T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102110,5402,Yes,2009-03-12T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102112,11947,Yes,2009-02-18T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102114,8256,Yes,2009-02-17T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102116,8547,Yes,2009-03-18T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102118,8208,Yes,2009-02-23T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102120,11948,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102122,9417,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102124,5403,Yes,2009-02-10T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102126,12071,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102128,10202,Yes,2009-02-10T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102130,11586,Yes,2009-02-10T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102132,9534,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102134,8853,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102136,12072,Yes,2009-02-10T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102138,10203,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102140,4815,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102142,11949,Yes,2009-02-03T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102144,12711,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102146,11561,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102148,5404,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102150,7445,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102152,8257,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102154,8548,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102156,8352,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102158,10148,Yes,2009-03-01T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102160,4816,Yes,2009-02-24T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102162,9535,Yes,2009-02-12T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102164,12644,Yes,2009-02-24T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102166,9536,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102168,9537,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102170,8209,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102172,12073,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102174,10204,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102176,9538,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102178,4817,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102180,8854,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102182,11587,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102184,11950,No,null,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102186,8549,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102188,12074,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102190,8353,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102192,4818,Yes,2009-02-05T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102194,5374,Yes,2009-02-03T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102196,8354,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102198,5375,Yes,2009-02-03T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102200,11562,Yes,2009-02-03T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102202,11588,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102204,12712,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102206,8855,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102208,10205,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102210,9418,Yes,2009-03-19T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102212,9419,Yes,2009-03-19T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102214,10206,Yes,2009-03-19T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102216,9539,Yes,2009-03-19T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102218,12754,Yes,2009-03-24T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102220,6632,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102222,12075,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102224,9072,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102226,8550,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102228,6633,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102230,8210,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102232,8856,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102234,10149,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102236,4819,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102238,12645,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102240,7446,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102242,9073,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102244,8258,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102246,8857,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102248,12755,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102250,10150,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102252,10511,Yes,2009-02-03T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102254,5376,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102256,10151,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102258,5377,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102260,5405,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102262,12076,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102264,8858,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102266,5406,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102268,8259,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102270,9420,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102272,12646,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102274,11316,Yes,2009-02-10T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102276,10035,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102278,8551,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102280,11317,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102282,5407,Yes,2009-02-06T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102284,8355,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102286,12077,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102288,12647,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102290,10512,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102292,11563,Yes,2009-02-03T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102294,6634,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102296,9540,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102298,11318,Yes,2009-03-20T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102300,8859,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102302,8211,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102304,11951,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102306,8552,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102308,11564,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102310,11589,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102312,5378,Yes,2009-02-03T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102314,11319,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102316,9421,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102318,8260,Yes,2009-02-12T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102320,7447,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102322,9541,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102324,8356,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102326,10207,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102328,6635,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102330,8357,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102332,7448,Yes,2009-02-12T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102334,10513,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102336,4820,Yes,2009-03-23T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102338,10208,Yes,2009-03-26T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102340,9422,Yes,2009-02-24T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102342,9423,Yes,2009-03-26T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102344,10514,Yes,2009-03-23T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102346,5408,Yes,2009-03-24T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102348,10036,Yes,2009-02-24T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102350,11590,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102352,9542,Yes,2009-03-24T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102354,11591,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102356,10209,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102358,8358,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102360,11565,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102362,8261,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102364,10515,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102366,10152,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102368,6636,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102370,10516,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102372,7449,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102374,8212,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102376,8359,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102378,11592,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102380,9074,Yes,2009-03-25T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102382,9424,Yes,2009-02-13T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102384,9075,Yes,2009-02-13T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102386,10517,Yes,2009-02-13T00:00:00.000Z,null,2011-10-20T10:38:47.710Z,CONVERSION
102388,12648,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102390,6637,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102392,10406,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102394,8860,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102396,12078,Yes,2009-03-26T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102398,8262,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102400,8263,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102402,12079,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102404,9543,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102406,10210,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102408,9544,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102410,8553,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102412,11952,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102414,9076,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102416,6638,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102418,9425,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102420,7450,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102422,8861,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102424,12649,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102426,10153,Yes,2009-02-17T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102428,6639,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102430,8554,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102432,11953,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102434,5379,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102436,9077,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102438,10211,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102440,10518,Yes,2009-02-09T00:00:00.000Z,null,2011-10-20T10:38:47.710Z,CONVERSION
102442,10212,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102444,10213,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102446,9426,Yes,2009-02-06T00:00:00.000Z,null,2011-10-20T10:38:47.710Z,CONVERSION
102448,5380,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102450,12756,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102452,8862,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102454,5381,Yes,2009-02-06T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102456,10214,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102458,9545,Yes,2009-03-31T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102460,9078,Yes,2009-03-31T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102462,11954,Yes,2009-03-31T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102464,10407,Yes,2009-03-31T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102466,8360,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102468,12080,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102470,10154,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102472,10155,Yes,2009-04-01T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102474,5409,Yes,2009-04-01T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102476,10156,Yes,2009-04-01T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102478,6640,Yes,2009-04-03T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102480,12081,Yes,2009-04-03T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102482,12082,Yes,2009-04-03T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102484,12083,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102486,11593,Yes,2009-02-25T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102488,8264,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102490,8361,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102492,8362,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102494,8363,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102496,4821,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102498,5382,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102500,12650,Yes,2009-02-24T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102502,7451,Yes,2009-04-03T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102504,11320,Yes,2009-04-03T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102506,9546,Yes,2009-04-03T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102508,11566,Yes,2009-04-03T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102510,11567,Yes,2009-04-02T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102512,11594,Yes,2009-04-02T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102514,10157,Yes,2009-04-02T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102516,5410,Yes,2009-04-02T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102518,5383,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102520,8265,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102522,10215,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102524,8364,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102526,6641,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102528,8365,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102530,10158,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102532,9547,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102534,7452,No,2009-02-27T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102536,12651,Yes,2009-04-06T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102538,10159,Yes,2009-03-05T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102540,9427,Yes,2009-04-08T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102542,5411,Yes,2009-04-08T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102544,11321,Yes,2009-04-08T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102546,8863,Yes,2009-04-08T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102548,11568,Yes,2009-04-08T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102550,5384,Yes,2009-04-06T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102552,8864,Yes,2009-04-17T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102554,5412,Yes,2009-04-03T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102556,10519,Yes,2009-03-18T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102558,9079,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102560,8555,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102562,9080,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102564,6642,Yes,2009-03-16T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
102566,10520,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
